共：22090个

拼音,数量,内容
a,8,腌錒锕嗄呵吖啊阿
ai,70,锿哎皧鎄璦嬡鑀伌哀嵦皚癌嗳挨呆矮捱馤噯昹愛曖濭譪唉隘砹薆睚嗌碍硋嫒蔼啀礙敳瞹埃爱懝敱皑躷靄堨嘊欸瑷暧鴱凒诶塧藹霭叆僾崖乂娾銰艾鱫佁騃懓賹毐靉
an,64,岸堷揞桉婩俺盫庵豻铵廣峖氨鮟安廠埯儑洝隌鵪貋黬唵匼韽啽匎犴銨闇盦堓萻厂痷誝玵錌按媕諳黯暗胺葊鹌蓭雸広腤晻菴垵谙荌案鞍广鞌侒厰罯厈
ang,10,骯卬醠昻昂枊肮軮盎岇
ao,63,慠奧嗷墺媪嶅澳隞廒熬謷翺厫嗸鳌獓謸镺嚣奥懊媼扷坳螯擙鏖驁遨襖袄嫯翱爊芺凹傲拗柪獒澚軪聱摮嶴梎骜翶垇鼇滶詏磝璈鏊奡鰲岙抝鷔敖囂蔜
ba,66,妭罢秡伯覇炦跋軷鈀欛朳胈墢釟靶扒鮊钯仈八羓詙叭叐菝猈哵豝鲃魞爸岜抜拔坝粑玐鈸灞疤鮁笆霸芭壩琶垻杷鼥魃巴鲌弝茇罷夿鲅捌馛丷耙犮坺紦把吧
bai,30,伯柏絔拜捭栢庍掰薭摆矲败白兡瓸粺呗敗竡唄贁蛽擺佰粨拝稗百擘襬
ban,47,秚絆般岅湴攽頒褩颁扮辬靽姅虨瓪鈑钣粄肦斑蝂怑瘢半爿绊螌癍辦拌闆斒鉡伴版柈搬舨阪朌办扳瓣板班坂昄
bang,35,膀鎊幫梆鞤綁髈浜搒蜯垹傍邦蚌棒塝镑稖謗谤绑幇榜幚蒡縍旁捠邫牕艕牓棓帮磅
bao,70,珤飽苞保堡铇爆鮑窇雹褓犦媬袌鉋靌堢宝嚗寶胞寚鲍炮瀑襃闁藵枹笣佨勽葆抱趵蚫煲嫑怉齙菢饱緥寳鴇剥蕔勹瓝刨孢报駂暴曝鳵鸨忁宲龅豹鑤薄包褒報曓儤賲虣
bei,72,孛牬萆禙輩褙背埤糒珼庳錃鉳郥鞴碚陂备誖昁狽哱悲倍軰悖鄁犕鋇禆臂鵯桮北偹琲備被焙奰呗碑盃綼卑鹎偝竡伓唄裨钡俻紴惫憊辈揹邶韛愂椑梖狈鐾杯贝俾蓓貝鞁僃
ben,26,夲渀楍犇夯捹笨逩栟奙桳獖畚锛輽奔錛倴苯贲体本泍賁撪坌
beng,34,鞛祊甭迸揼蜯蹦鏰菶镚槰綳堋繃蚌伻泵琫逬埲誁崩甏跰嘣绷弸甮閍奟塴玤絣嵭
bi,168,萆螕篦貱疕饆庳幣毴詖鄪幤拂鲾鼊荸躃荜熚韠皀臂畀痹逼袐鉍跸珌檘鮅敝裨閉稫芘贲薜襒嬶畢秕闢獙襣閟愊縪稗觱赑賁嗶佖庇鎞躄埤枈堛蹕箆榌蓽萞箅鞸狴笔粊睥沘鄨嫳筆斃閇邲毖哔秘毕蓖坒鐴彼嬖潷闭皕贔弻鵖必毙廦箄罼鼻屄弼襞驆朇濞篳梐辟蜌馝吡佊壁舭髀筚湢鰏妣痺駜弊柲払啚滗煏骳泌愎聛咉币偪蔽俾璧鷩柀夶柫铋獘彃楅妼貏腷豍飶滭疪鏎避鷝苾诐怭粃匕鄙朼碧襅比魓陛婢
bian,66,扁籩笾釆閞猵辩邉苄卞萹辯辨牑甂貶糄抃艑辮箯弁辫匾藊煸忭遍邊辺砭稨辧便编昪汳覍鴘楄蝙贬变鯾鯿窆碥玣變惼変鳊鍽鞭炞緶編汴辡柉獱褊揙徧缏边
biao,57,爂骠儦羆瘭婊謤飊諘镖骉麃颮標颷髟檦褾勺彪磦飍鰾熛驫颩标鑣裱镳杓灬飙驃飇滮摽鏢臕墂膘錶蔈穮表飚飈鳔脿瀌飑俵猋藨贆飆幖
bie,19,癟別莂虌鱉蟞别咇徶鼈瘪鳖蹩龞襒蛂彆縪憋
bin,47,濱霦賔鑌馪殡髌汃瀕傧濒豳顮璸檳驞蠙濹彬豩膑殯臏賓滨邠濵斌鬢玢梹鶣缤髕髩矉摈椕鬂瑸擯槟宾儐繽镔鬓
bing,54,庰丙禀掤昞餠冫病炳檳稟偋琕仌栟鈵兵鋲氷棅鉼怲窉邴栤蛃靐傡冰梹屏仒柄苪眪並倂寎鵧鮩陃竝秉鞞摒并昺槟垪幷餅抦饼併
bo,118,柏嶓踣渤脖艊馞舶萡鑮欂玻趵箥癷溊驋苩薜啵亳鲌箔疈铂桲播般蔔波鉢搏懪餺袚僰钵拨胉蚾犱餑鉑狛魄癶犻剥帛郣煿髉鋍踄葧鸔碆薄蕃駮菠岥剝擘孛孹驳簸栢鹁挬蘗骲泊髆缽襏砵浡镈駊鎛檗柭袯百盋敀钹伯糪繴鵓掰膊跛愽卜謈猼譒駁簙博礴侼嶏馎襮牔蹳袰礡撥鱍饽勃挀
bu,45,堡逋晡郶捗獛鳪蔔怖埗簿錻悑钸佈布卜卟勏埠补咘庯歨鈈瓿柨醭不鵏哺餔钚捕補餢峬歩鈽蔀埔荹步篰部
ca,5,拆囃擦礤嚓
cai,25,倸财綵才溨菜棌踩婇纔埰縩跴寀猜睬蔡彩採材偲財戝裁采
can,39,孱蝅蠶蚕嬱儏驂蓡殘湌黪璨惨骖掺謲飡憯粲噆黲灿燦慙残慘澯惭蠺餐嬠薒爘薓慚参叅朁參
cang,23,仺伧舱傖蔵欌濸螥沧艙鸧蒼仓滄鑶倉賶嵢鶬匨苍凔藏
cao,24,槽騲糙蓸螬艚褿肏撡鏪襙鄵懆艹喿漕艸操草嘈曺曹愺嶆
ce,30,册矠荝厠側萗笧测溭冊筞蓛箣嫧廁侧測憡策敇恻拺畟粣筴遪厕墄惻茦
cen,12,嵾埁涔橬薓梫参岑笒梣叅參
ceng,10,層曾碀竲蹭鄫嶒层噌曽
cha,54,衩岔查垞碴槎姹嫅艖偛蹅挿镲鍤鑔插銟嵖疀仛楂奼檫秅茶剎察诧揷査嗏汊锸侘詧肞訍馇鎈搽紁扨扠茬臿猹刹詫差杈叉喳嚓餷
chai,19,豺袃柴囆祡茝侪钗喍偨瘥拆儕差虿釵犲芆蠆
chan,105,单觇蟐蟬諂繵獑滻僝辿煘丳谗旵镡摌讇讒嬓产骣鐔鋋蒇燀繟嘽冁潺硟簅壥婵欃瀍颤廛儳鄽禅鋓誗懴浐緾忏湹酁馋閳铲纒棎嬋剗巉孱禪顫覘攙闡纏潹掺梴孨剷缠啴蕆鏟灛嵼袩懺摻單単艬譂羼搀產産鑱饞毚惉刬磛躔韂谄蟾幝襜囅澶瀺阐劖嚵蝉镵
chang,70,鼚腸鬯暢甞常鱨瓺唱偿徜廠鲿膓裮娼閶仧粻惝嚐倘倀伥嘗鋿錩尝悵焻厂倡菖鯧鏛昌韔鲳萇場昶鋹嫦锠镸敞肠裳晿兏阊玚怅猖淐苌僘氅场琩長畅长畼誯塲厰瑺厈償
chao,35,鼌巢鄛轈朝绰觘抄潮巣訬怊鈔晁巐钞仦麨炒仯樔弨耖吵焯謿嘲超煼罺勦欩鼂眧剿
che,29,伡砗尺澈屮车撤扯掣勶蛼偖轍莗車烲聅爡硩迠坼徹瞮唓撦俥彻硨奲
chen,77,伔伧称秤榇墋儭藽龀忱娠陳迧麎賝莐霃鍖臣螴趁齔櫬穪硶夦襯疢谶瞋屒薼尘敐贂齓郴嗔沈諶辰曟宸鈂橙棽趂晨碜樄琛磣蔯沉趻搷裖塵堔嚫衬抻稱捵踸謓茞軙讖谌煁愖鷐莀陈訦諃
cheng,96,窚称靗秤掁酲诚憕程脀睈檉緽庱棦頳郕偁铖蛏饓侱枨鯎撐赪噌鐣塍騬承惩晟徎穪誠懲撑瞠逞泟牚塖乘柽洆揨成琤脭塣悜盛畻椉騁骋鏿浾橙丞挰珵罉鋮筬憆瀓竀牜呈崝城埕铛澄珹稱橕棖峸摚宬堘鐺娍埥頙赬裎澂阷乗絾蟶荿
chi,129,絺馳傺喫叱叺炽持鉓翤吃饎齒耻熾褫摛齝嗤飭汦岻烾勅徲栘歯恥灻歭糦魑侈禠豉弛坻赤彳彲扡懘迟抶趩恜垑伬誃杘哧翅筂饬戠袳蚔遲鉹赿憏欼鶒彨蚳遅箎蚇粎瘛啻敕慗媸誺裭螭徥踟訵噄俿蚩齿妛謘忯瞝姼墀痸池耛篪尺驰傂呎斥麶匙恀侙跮茌眵痴鵄翄齹栻笞淔痓拸銐遟瓻荎癡竾鴟趍箈鷘黐摰貾鸱
chong,36,寵重銃痋崇铳茺摏隀種沖浺漴种嘃翀冲崈蹖忡憧揰徸舂湧宠蝩祌虫珫蟲褈充衝艟涌
chou,62,疇鮘絒杻丑惆嚋婤讐侴躊酬犫栦俦绸搊菗筹儔丒燽犨憱綢仇醻莥霔臭抽踌吜霌稠幬杽瘳皗篘椆裯鯈嬦紬瞅醜殠畴詶愁雠酧雔魗臰矁籌讎帱薵懤
chu,88,跦滁雛傗椘絀竐蕏檚搐橻杵臅鉏趎黜樗畜濋儲荲觸楮蜍斶榋曯蹰墸触閦竌楚篨雏处拀廚岀初幮储櫥厨鄐矗除琡泏躇礎詘褚齭踀欪亍犓貙処锄出躕敊蒭绌鶵滀齼怵俶齣鋤蒢櫉蟵础刍芻儊橱遚處歜豖璴憷耡
chuai,7,搋膪膗啜嘬揣踹
chuan,32,僢賗氚釧串椽玔传舩穿窓喘舛荈諯鐉牀钏川篅遄剏汌瑏船傳舡巛歂堾暷輲
chuang,26,瘡剙怆窗橦摐憃愴床撞幢闖搶疒戧漺創闯囪窻獊刱刅创疮摤
chui,24,甀娷棰湷腄椎圌捶顀吹諈垂炊錘鎚倕陲龡埀搥菙槌锤箠
chun,42,箺杶脣蠢純鶞滣蝽踳纯櫄春萶莼膥鯙陙唇瑃憌旾鰆輴惷蓴錞淳湻椿漘偆睶萅浱媋醕焞蒓鹑醇暙鶉
chuo,33,辶齪惙擉犳辵绰涰諁珿酫畷娖歠踔逴婥趠醊齱婼戳輟龊鑡吷綽磭啜嚽繛腏辍
